Date,Operating Systems,Visits
10-Mar-16,Windows Vista,8
10-Mar-16,Windows 98,1
11-Mar-16,Windows 7,1259
11-Mar-16,Windows 10,309
11-Mar-16,Windows 8.1,243
11-Mar-16,Windows 8,38
11-Mar-16,Windows XP,30
11-Mar-16,Windows Vista,3
11-Mar-16,Windows 3.x,1
12-Mar-16,Windows 7,375
12-Mar-16,Windows 10,255
12-Mar-16,Windows 8.1,116
12-Mar-16,Windows XP,26
12-Mar-16,Windows 8,24
12-Mar-16,Windows Vista,6
12-Mar-16,Windows Server 2003 and XP x64 Edition,1
12-Mar-16,Windows 3.x,1
13-Mar-16,Windows 7,477
13-Mar-16,Windows 10,246
13-Mar-16,Windows 8.1,108
13-Mar-16,Windows 8,23
13-Mar-16,Windows XP,15
13-Mar-16,Windows Vista,4
14-Mar-16,Windows 7,1512
14-Mar-16,Windows 10,380
14-Mar-16,Windows 8.1,278
14-Mar-16,Windows 8,47
14-Mar-16,Windows XP,39
14-Mar-16,Windows Vista,9
14-Mar-16,Windows Server 2003 and XP x64 Edition,1
15-Mar-16,Windows 7,1514
15-Mar-16,Windows 10,383
15-Mar-16,Windows 8.1,289
15-Mar-16,Windows 8,38
15-Mar-16,Windows XP,35
15-Mar-16,Windows Vista,3
15-Mar-16,Windows Server 2003 and XP x64 Edition,2
16-Mar-16,Windows 7,1518
16-Mar-16,Windows 10,357
16-Mar-16,Windows 8.1,238
16-Mar-16,Windows XP,49
16-Mar-16,Windows 8,38
16-Mar-16,Windows Vista,11
16-Mar-16,Windows Server 2003 and XP x64 Edition,3
17-Mar-16,Windows 7,1391
17-Mar-16,Windows 10,363
17-Mar-16,Windows 8.1,249
17-Mar-16,Windows XP,41
17-Mar-16,Windows 8,28
17-Mar-16,Windows Vista,7
17-Mar-16,Windows Server 2003 and XP x64 Edition,3
17-Mar-16,Windows 3.x,1
18-Mar-16,Windows 7,1059
18-Mar-16,Windows 10,312
18-Mar-16,Windows 8.1,205
18-Mar-16,Windows XP,38
18-Mar-16,Windows 8,31
18-Mar-16,Windows Vista,10
18-Mar-16,Windows Server 2003 and XP x64 Edition,2
19-Mar-16,Windows 7,359
19-Mar-16,Windows 10,210
19-Mar-16,Windows 8.1,90
19-Mar-16,Windows XP,25
19-Mar-16,Windows 8,17
19-Mar-16,Windows Vista,5
20-Mar-16,Windows 7,428
20-Mar-16,Windows 10,208
20-Mar-16,Windows 8.1,109
20-Mar-16,Windows XP,21
20-Mar-16,Windows 8,20
20-Mar-16,Windows Vista,4
20-Mar-16,Windows Server 2003 and XP x64 Edition,1
21-Mar-16,Windows 7,1419
21-Mar-16,Windows 10,419
21-Mar-16,Windows 8.1,242
21-Mar-16,Windows 8,38
21-Mar-16,Windows XP,32
21-Mar-16,Windows Vista,5
21-Mar-16,Windows Server 2003 and XP x64 Edition,2
22-Mar-16,Windows 7,1433
22-Mar-16,Windows 10,359
22-Mar-16,Windows 8.1,244
22-Mar-16,Windows XP,43
22-Mar-16,Windows 8,36
22-Mar-16,Windows Vista,4
22-Mar-16,Windows Server 2003 and XP x64 Edition,2
23-Mar-16,Windows 7,1409
23-Mar-16,Windows 10,420
23-Mar-16,Windows 8.1,252
23-Mar-16,Windows XP,47
23-Mar-16,Windows 8,41
23-Mar-16,Windows Vista,6
23-Mar-16,Windows Server 2003 and XP x64 Edition,1
24-Mar-16,Windows 7,1217
24-Mar-16,Windows 10,349
24-Mar-16,Windows 8.1,215
24-Mar-16,Windows XP,38
24-Mar-16,Windows 8,24
24-Mar-16,Windows Vista,3
25-Mar-16,Windows 7,769
25-Mar-16,Windows 10,323
25-Mar-16,Windows 8.1,156
25-Mar-16,Windows XP,25
25-Mar-16,Windows 8,18
25-Mar-16,Windows Vista,4
26-Mar-16,Windows 7,379
26-Mar-16,Windows 10,226
26-Mar-16,Windows 8.1,94
26-Mar-16,Windows 8,22
26-Mar-16,Windows XP,18
26-Mar-16,Windows Vista,5
26-Mar-16,Windows Server 2003 and XP x64 Edition,1
27-Mar-16,Windows 7,371
27-Mar-16,Windows 10,230
27-Mar-16,Windows 8.1,94
27-Mar-16,Windows XP,30
27-Mar-16,Windows 8,27
27-Mar-16,Windows Vista,5
27-Mar-16,Windows Server 2003 and XP x64 Edition,2
27-Mar-16,Windows NT,1
28-Mar-16,Windows 7,1201
28-Mar-16,Windows 10,362
28-Mar-16,Windows 8.1,227
28-Mar-16,Windows XP,46
28-Mar-16,Windows 8,35
28-Mar-16,Windows Vista,4
28-Mar-16,Windows Server 2003 and XP x64 Edition,2
29-Mar-16,Windows 7,1504
29-Mar-16,Windows 10,383
29-Mar-16,Windows 8.1,260
29-Mar-16,Windows 8,30
29-Mar-16,Windows XP,28
29-Mar-16,Windows Server 2003 and XP x64 Edition,5
29-Mar-16,Windows Vista,4
30-Mar-16,Windows 7,1502
30-Mar-16,Windows 10,418
30-Mar-16,Windows 8.1,268
30-Mar-16,Windows XP,41
30-Mar-16,Windows 8,38
30-Mar-16,Windows Vista,6
30-Mar-16,Windows Server 2003 and XP x64 Edition,2
31-Mar-16,Windows 7,1294
31-Mar-16,Windows 10,384
31-Mar-16,Windows 8.1,234
31-Mar-16,Windows 8,38
31-Mar-16,Windows XP,35
31-Mar-16,Windows Vista,3
31-Mar-16,Windows Server 2003 and XP x64 Edition,2
1-Apr-16,Windows 7,1140
1-Apr-16,Windows 10,362
1-Apr-16,Windows 8.1,199
1-Apr-16,Windows 8,32
1-Apr-16,Windows XP,30
1-Apr-16,Windows Vista,7
1-Apr-16,Windows Server 2003 and XP x64 Edition,2
2-Apr-16,Windows 7,405
2-Apr-16,Windows 10,269
2-Apr-16,Windows 8.1,99
2-Apr-16,Windows 8,27
2-Apr-16,Windows XP,20
2-Apr-16,Windows Vista,1
3-Apr-16,Windows 7,418
3-Apr-16,Windows 10,311
3-Apr-16,Windows 8.1,100
3-Apr-16,Windows XP,27
3-Apr-16,Windows 8,18
3-Apr-16,Windows Vista,2
4-Apr-16,Windows 7,1446
4-Apr-16,Windows 10,428
4-Apr-16,Windows 8.1,266
4-Apr-16,Windows XP,41
4-Apr-16,Windows 8,36
4-Apr-16,Windows Vista,7
4-Apr-16,Windows Server 2003 and XP x64 Edition,4
5-Apr-16,Windows 7,1524
5-Apr-16,Windows 10,452
5-Apr-16,Windows 8.1,272
5-Apr-16,Windows XP,47
5-Apr-16,Windows 8,44
5-Apr-16,Windows Vista,5
5-Apr-16,Windows Server 2003 and XP x64 Edition,1
6-Apr-16,Windows 7,1572
6-Apr-16,Windows 10,436
6-Apr-16,Windows 8.1,287
6-Apr-16,Windows XP,37
6-Apr-16,Windows 8,34
6-Apr-16,Windows Vista,6
6-Apr-16,Windows Server 2003 and XP x64 Edition,4
7-Apr-16,Windows 7,1621
7-Apr-16,Windows 10,454
7-Apr-16,Windows 8.1,287
7-Apr-16,Windows XP,30
7-Apr-16,Windows 8,25
7-Apr-16,Windows Vista,4
7-Apr-16,Windows Server 2003 and XP x64 Edition,1
8-Apr-16,Windows 7,1068
8-Apr-16,Windows 10,319
8-Apr-16,Windows 8.1,207
8-Apr-16,Windows XP,21
8-Apr-16,Windows 8,20
8-Apr-16,Windows Vista,5
8-Apr-16,Windows Server 2003 and XP x64 Edition,1
9-Apr-16,Windows 7,369
9-Apr-16,Windows 10,275
9-Apr-16,Windows 8.1,107
9-Apr-16,Windows XP,32
9-Apr-16,Windows 8,20
9-Apr-16,Windows Vista,2
9-Apr-16,Windows Server 2003 and XP x64 Edition,1
10-Apr-16,Windows 7,433
10-Apr-16,Windows 10,273
10-Apr-16,Windows 8.1,128
10-Apr-16,Windows XP,22
10-Apr-16,Windows 8,20
10-Apr-16,Windows Vista,2
11-Apr-16,Windows 7,1545
11-Apr-16,Windows 10,417
11-Apr-16,Windows 8.1,308
11-Apr-16,Windows XP,44
11-Apr-16,Windows 8,36
11-Apr-16,Windows Vista,5
11-Apr-16,Windows Server 2003 and XP x64 Edition,3
11-Apr-16,Windows NT,1
12-Apr-16,Windows 7,1416
12-Apr-16,Windows 10,399
12-Apr-16,Windows 8.1,228
12-Apr-16,Windows XP,35
12-Apr-16,Windows 8,28
12-Apr-16,Windows Vista,4
12-Apr-16,Windows Server 2003 and XP x64 Edition,3
13-Apr-16,Windows 7,1412
13-Apr-16,Windows 10,457
13-Apr-16,Windows 8.1,250
13-Apr-16,Windows 8,30
13-Apr-16,Windows XP,23
13-Apr-16,Windows Vista,9
13-Apr-16,Windows 3.x,2
13-Apr-16,Windows Server 2003 and XP x64 Edition,1
14-Apr-16,Windows 7,1317
14-Apr-16,Windows 10,382
14-Apr-16,Windows 8.1,219
14-Apr-16,Windows 8,31
14-Apr-16,Windows XP,30
14-Apr-16,Windows Vista,6
14-Apr-16,Windows Server 2003 and XP x64 Edition,3
15-Apr-16,Windows 7,1222
15-Apr-16,Windows 10,360
15-Apr-16,Windows 8.1,243
15-Apr-16,Windows XP,29
15-Apr-16,Windows 8,26
15-Apr-16,Windows Vista,6
15-Apr-16,Windows Server 2003 and XP x64 Edition,1
16-Apr-16,Windows 7,328
16-Apr-16,Windows 10,263
16-Apr-16,Windows 8.1,110
16-Apr-16,Windows 8,21
16-Apr-16,Windows XP,17
16-Apr-16,Windows Vista,2
17-Apr-16,Windows 7,428
17-Apr-16,Windows 10,242
17-Apr-16,Windows 8.1,115
17-Apr-16,Windows XP,17
17-Apr-16,Windows 8,13
17-Apr-16,Windows Vista,2
17-Apr-16,Windows Server 2003 and XP x64 Edition,1
18-Apr-16,Windows 7,1436
18-Apr-16,Windows 10,435
18-Apr-16,Windows 8.1,268
18-Apr-16,Windows 8,40
18-Apr-16,Windows XP,26
18-Apr-16,Windows Vista,8
19-Apr-16,Windows 7,1491
19-Apr-16,Windows 10,435
19-Apr-16,Windows 8.1,267
19-Apr-16,Windows XP,40
19-Apr-16,Windows 8,33
19-Apr-16,Windows Vista,10
20-Apr-16,Windows 7,1488
20-Apr-16,Windows 10,413
20-Apr-16,Windows 8.1,239
20-Apr-16,Windows XP,45
20-Apr-16,Windows 8,31
20-Apr-16,Windows Server 2003 and XP x64 Edition,3
20-Apr-16,Windows Vista,3
21-Apr-16,Windows 7,1387
21-Apr-16,Windows 10,451
21-Apr-16,Windows 8.1,270
21-Apr-16,Windows XP,40
21-Apr-16,Windows 8,28
21-Apr-16,Windows Vista,12
22-Apr-16,Windows 7,1094
22-Apr-16,Windows 10,349
22-Apr-16,Windows 8.1,183
22-Apr-16,Windows 8,25
22-Apr-16,Windows XP,25
22-Apr-16,Windows Vista,6
22-Apr-16,Windows Server 2003 and XP x64 Edition,1
23-Apr-16,Windows 7,351
23-Apr-16,Windows 10,233
23-Apr-16,Windows 8.1,99
23-Apr-16,Windows 8,26
23-Apr-16,Windows XP,23
23-Apr-16,Windows Vista,5
24-Apr-16,Windows 7,410
24-Apr-16,Windows 10,241
24-Apr-16,Windows 8.1,88
24-Apr-16,Windows 8,21
24-Apr-16,Windows XP,14
24-Apr-16,Windows Vista,4
25-Apr-16,Windows 7,1481
25-Apr-16,Windows 10,430
25-Apr-16,Windows 8.1,291
25-Apr-16,Windows 8,30
25-Apr-16,Windows XP,24
25-Apr-16,Windows Vista,3
25-Apr-16,Windows Server 2003 and XP x64 Edition,2
26-Apr-16,Windows 7,1472
26-Apr-16,Windows 10,417
26-Apr-16,Windows 8.1,239
26-Apr-16,Windows XP,32
26-Apr-16,Windows 8,31
26-Apr-16,Windows Vista,5
26-Apr-16,Windows Server 2003 and XP x64 Edition,4
27-Apr-16,Windows 7,1390
27-Apr-16,Windows 10,462
27-Apr-16,Windows 8.1,254
27-Apr-16,Windows XP,28
27-Apr-16,Windows 8,25
27-Apr-16,Windows Vista,13
27-Apr-16,Windows Server 2003 and XP x64 Edition,2
28-Apr-16,Windows 7,1383
28-Apr-16,Windows 10,447
28-Apr-16,Windows 8.1,280
28-Apr-16,Windows 8,35
28-Apr-16,Windows XP,29
28-Apr-16,Windows Vista,5
28-Apr-16,Windows Server 2003 and XP x64 Edition,1
29-Apr-16,Windows 7,1128
29-Apr-16,Windows 10,351
29-Apr-16,Windows 8.1,204
29-Apr-16,Windows 8,32
29-Apr-16,Windows XP,30
29-Apr-16,Windows Vista,6
30-Apr-16,Windows 7,387
30-Apr-16,Windows 10,213
30-Apr-16,Windows 8.1,77
30-Apr-16,Windows XP,14
30-Apr-16,Windows 8,6
30-Apr-16,Windows Vista,2
30-Apr-16,Windows Server 2003 and XP x64 Edition,1
30-Apr-16,Windows NT,1
1-May-16,Windows 7,382
1-May-16,Windows 10,255
1-May-16,Windows 8.1,70
1-May-16,Windows 8,18
1-May-16,Windows XP,9
1-May-16,Windows Vista,2
1-May-16,Windows NT,1
2-May-16,Windows 7,1224
2-May-16,Windows 10,407
2-May-16,Windows 8.1,182
2-May-16,Windows 8,38
2-May-16,Windows XP,14
2-May-16,Windows Vista,8
3-May-16,Windows 7,1359
3-May-16,Windows 10,412
3-May-16,Windows 8.1,224
3-May-16,Windows 8,36
3-May-16,Windows XP,32
3-May-16,Windows Vista,4
3-May-16,Windows Server 2003 and XP x64 Edition,2
4-May-16,Windows 7,1349
4-May-16,Windows 10,418
4-May-16,Windows 8.1,228
4-May-16,Windows XP,37
4-May-16,Windows 8,34
4-May-16,Windows Vista,7
4-May-16,Windows Server 2003 and XP x64 Edition,1
5-May-16,Windows 7,1255
5-May-16,Windows 10,416
5-May-16,Windows 8.1,207
5-May-16,Windows 8,35
5-May-16,Windows XP,24
5-May-16,Windows Vista,4
5-May-16,Windows Server 2003 and XP x64 Edition,2
6-May-16,Windows 7,1042
6-May-16,Windows 10,356
6-May-16,Windows 8.1,180
6-May-16,Windows 8,36
6-May-16,Windows XP,25
6-May-16,Windows Vista,3
6-May-16,Windows 9x/NT,2
7-May-16,Windows 7,353
7-May-16,Windows 10,223
7-May-16,Windows 8.1,77
7-May-16,Windows 8,23
7-May-16,Windows XP,21
7-May-16,Windows 9x/NT,2
7-May-16,Windows Vista,1
7-May-16,Windows 98,1
8-May-16,Windows 7,392
8-May-16,Windows 10,249
8-May-16,Windows 8.1,109
8-May-16,Windows 8,19
8-May-16,Windows XP,14
8-May-16,Windows Server 2003 and XP x64 Edition,4
8-May-16,Windows 9x/NT,4
8-May-16,Windows Vista,1
9-May-16,Windows 7,1383
9-May-16,Windows 10,464
9-May-16,Windows 8.1,205
9-May-16,Windows 8,36
9-May-16,Windows XP,35
9-May-16,Windows Vista,5
9-May-16,Windows Server 2003 and XP x64 Edition,1
9-May-16,Windows 9x/NT,1
10-May-16,Windows 7,1550
10-May-16,Windows 10,458
10-May-16,Windows 8.1,257
10-May-16,Windows 8,32
10-May-16,Windows XP,27
10-May-16,Windows Server 2003 and XP x64 Edition,6
10-May-16,Windows Vista,5
10-May-16,Windows 9x/NT,1
11-May-16,Windows 7,1514
11-May-16,Windows 10,444
11-May-16,Windows 8.1,242
11-May-16,Windows 8,46
11-May-16,Windows XP,15
11-May-16,Windows Server 2003 and XP x64 Edition,10
11-May-16,Windows Vista,2
11-May-16,Windows 9x/NT,1
11-May-16,Windows 98,1
12-May-16,Windows 7,1323
12-May-16,Windows 10,409
12-May-16,Windows 8.1,240
12-May-16,Windows 8,35
12-May-16,Windows XP,31
12-May-16,Windows Vista,7
12-May-16,Windows Server 2003 and XP x64 Edition,2
12-May-16,Windows 9x/NT,1
13-May-16,Windows 7,1057
13-May-16,Windows 10,403
13-May-16,Windows 8.1,187
13-May-16,Windows XP,27
13-May-16,Windows 8,21
13-May-16,Windows Vista,9
13-May-16,Windows 9x/NT,2
13-May-16,Windows Server 2003 and XP x64 Edition,1
14-May-16,Windows 7,351
14-May-16,Windows 10,245
14-May-16,Windows 8.1,99
14-May-16,Windows 8,13
14-May-16,Windows XP,12
14-May-16,Windows Vista,6
14-May-16,Windows Server 2003 and XP x64 Edition,1
14-May-16,Windows 9x/NT,1
15-May-16,Windows 7,378
15-May-16,Windows 10,268
15-May-16,Windows 8.1,101
15-May-16,Windows 8,16
15-May-16,Windows XP,11
15-May-16,Windows Vista,4
15-May-16,Windows 9x/NT,1
16-May-16,Windows 7,1221
16-May-16,Windows 10,417
16-May-16,Windows 8.1,223
16-May-16,Windows 8,33
16-May-16,Windows XP,32
16-May-16,Windows Vista,9
16-May-16,Windows 3.x,1
17-May-16,Windows 7,1360
17-May-16,Windows 10,437
17-May-16,Windows 8.1,266
17-May-16,Windows 8,32
17-May-16,Windows XP,24
17-May-16,Windows Vista,8
17-May-16,Windows Server 2003 and XP x64 Edition,4
18-May-16,Windows 7,1379
18-May-16,Windows 10,462
18-May-16,Windows 8.1,237
18-May-16,Windows XP,32
18-May-16,Windows 8,18
18-May-16,Windows Vista,8
18-May-16,Windows NT,1
