Date,Browser,Openshift + Visits
10-May-16,Microsoft Internet Explorer 9,38
10-May-16,Microsoft Internet Explorer 8,22
10-May-16,Microsoft Internet Explorer 10,19
11-May-16,Microsoft Internet Explorer 11,411
11-May-16,Microsoft Internet Explorer 9,61
11-May-16,Internet Explorer Mobile 11.0,49
11-May-16,Microsoft Internet Explorer 8,16
11-May-16,Microsoft Internet Explorer 10,13
11-May-16,Internet Explorer 11.0,2
11-May-16,Internet Explorer Mobile 9.0,1
12-May-16,Microsoft Internet Explorer 11,447
12-May-16,Microsoft Internet Explorer 9,49
12-May-16,Internet Explorer Mobile 11.0,33
12-May-16,Microsoft Internet Explorer 8,18
12-May-16,Microsoft Internet Explorer 10,17
13-May-16,Microsoft Internet Explorer 11,402
13-May-16,Microsoft Internet Explorer 9,61
13-May-16,Internet Explorer Mobile 11.0,22
13-May-16,Microsoft Internet Explorer 8,18
13-May-16,Microsoft Internet Explorer 10,15
13-May-16,Internet Explorer 11.0,1
13-May-16,Microsoft Internet Explorer 7.0,1
14-May-16,Microsoft Internet Explorer 11,129
14-May-16,Internet Explorer Mobile 11.0,43
14-May-16,Microsoft Internet Explorer 9,34
14-May-16,Microsoft Internet Explorer 8,12
14-May-16,Microsoft Internet Explorer 10,10
15-May-16,Microsoft Internet Explorer 11,125
15-May-16,Microsoft Internet Explorer 9,79
15-May-16,Internet Explorer Mobile 11.0,43
15-May-16,Microsoft Internet Explorer 10,10
15-May-16,Microsoft Internet Explorer 8,9
15-May-16,Microsoft Internet Explorer 7.0,2
15-May-16,Internet Explorer 11.0,1
16-May-16,Microsoft Internet Explorer 11,353
16-May-16,Internet Explorer Mobile 11.0,51
16-May-16,Microsoft Internet Explorer 10,18
16-May-16,Microsoft Internet Explorer 9,15
16-May-16,Microsoft Internet Explorer 8,11
16-May-16,Internet Explorer 11.0,1
17-May-16,Microsoft Internet Explorer 11,460
17-May-16,Internet Explorer Mobile 11.0,55
17-May-16,Microsoft Internet Explorer 9,27
17-May-16,Microsoft Internet Explorer 8,24
17-May-16,Microsoft Internet Explorer 10,21
17-May-16,Internet Explorer 11.0,5
17-May-16,Microsoft Internet Explorer 6.0,1
18-May-16,Microsoft Internet Explorer 11,477
18-May-16,Internet Explorer Mobile 11.0,75
18-May-16,Microsoft Internet Explorer 9,29
18-May-16,Microsoft Internet Explorer 10,18
18-May-16,Microsoft Internet Explorer 8,13
18-May-16,Microsoft Internet Explorer 7.0,2
18-May-16,Internet Explorer 11.0,1
18-May-16,Microsoft Internet Explorer 6.0,1
