Date,OS,Visits
7-May-16,Google Android,1203
7-May-16,GNU/Linux,1120
7-May-16,Apple iOS,691
7-May-16,Microsoft Windows Phone/Mobile,37
7-May-16,Chrome OS,12
7-May-16,Nokia,8
7-May-16,Other,5
7-May-16,Blackberry,4
8-May-16,Microsoft Windows,5318
8-May-16,Apple Macintosh,1318
8-May-16,Google Android,1169
8-May-16,GNU/Linux,1113
8-May-16,Apple iOS,599
8-May-16,Microsoft Windows Phone/Mobile,28
8-May-16,Chrome OS,14
8-May-16,Nokia,8
8-May-16,Blackberry,4
8-May-16,UNIX,3
9-May-16,Microsoft Windows,8761
9-May-16,Apple Macintosh,2421
9-May-16,GNU/Linux,1966
9-May-16,Google Android,1211
9-May-16,Apple iOS,620
9-May-16,Microsoft Windows Phone/Mobile,41
9-May-16,Chrome OS,14
9-May-16,Nokia,9
9-May-16,Blackberry,5
9-May-16,Other,5
10-May-16,Microsoft Windows,9240
10-May-16,Apple Macintosh,2621
10-May-16,GNU/Linux,2077
10-May-16,Google Android,1496
10-May-16,Apple iOS,746
10-May-16,Microsoft Windows Phone/Mobile,69
10-May-16,Chrome OS,33
10-May-16,Nokia,6
10-May-16,UNIX,5
10-May-16,Blackberry,3
11-May-16,Microsoft Windows,9141
11-May-16,Apple Macintosh,2511
11-May-16,GNU/Linux,2264
11-May-16,Google Android,1538
11-May-16,Apple iOS,778
11-May-16,Microsoft Windows Phone/Mobile,63
11-May-16,Chrome OS,17
11-May-16,Nokia,8
11-May-16,UNIX,4
11-May-16,Blackberry,3
12-May-16,Microsoft Windows,9217
12-May-16,Apple Macintosh,2574
12-May-16,GNU/Linux,2127
12-May-16,Google Android,1415
12-May-16,Apple iOS,794
12-May-16,Microsoft Windows Phone/Mobile,39
12-May-16,Chrome OS,13
12-May-16,Nokia,8
12-May-16,Blackberry,7
12-May-16,Other,3
13-May-16,Microsoft Windows,8405
13-May-16,Apple Macintosh,2279
13-May-16,GNU/Linux,1898
13-May-16,Google Android,1223
13-May-16,Apple iOS,775
13-May-16,Microsoft Windows Phone/Mobile,26
13-May-16,Chrome OS,20
13-May-16,Other,7
13-May-16,Nokia,3
13-May-16,Blackberry,3
14-May-16,Microsoft Windows,5854
14-May-16,Google Android,1449
14-May-16,Apple Macintosh,1344
14-May-16,GNU/Linux,1138
14-May-16,Apple iOS,684
14-May-16,Microsoft Windows Phone/Mobile,47
14-May-16,Chrome OS,22
14-May-16,Other,11
14-May-16,Nokia,6
14-May-16,Blackberry,6
15-May-16,Microsoft Windows,6120
15-May-16,Apple Macintosh,1485
15-May-16,Google Android,1427
15-May-16,GNU/Linux,1176
15-May-16,Apple iOS,641
15-May-16,Microsoft Windows Phone/Mobile,48
15-May-16,Chrome OS,14
15-May-16,Nokia,5
15-May-16,UNIX,5
15-May-16,Blackberry,3
16-May-16,Microsoft Windows,8930
16-May-16,Apple Macintosh,2357
16-May-16,GNU/Linux,2089
16-May-16,Google Android,1446
16-May-16,Apple iOS,683
16-May-16,Microsoft Windows Phone/Mobile,55
16-May-16,Chrome OS,14
16-May-16,Nokia,5
16-May-16,Blackberry,5
16-May-16,Other,3
17-May-16,Microsoft Windows,9852
17-May-16,Apple Macintosh,2613
17-May-16,GNU/Linux,2467
17-May-16,Google Android,1378
17-May-16,Apple iOS,698
17-May-16,Microsoft Windows Phone/Mobile,63
17-May-16,Chrome OS,19
17-May-16,Other,8
17-May-16,Blackberry,6
17-May-16,Nokia,5
18-May-16,Microsoft Windows,9555
18-May-16,Apple Macintosh,2488
18-May-16,GNU/Linux,2446
18-May-16,Google Android,1390
18-May-16,Apple iOS,732
18-May-16,Microsoft Windows Phone/Mobile,80
18-May-16,Chrome OS,22
18-May-16,Blackberry,5
18-May-16,Other,4
18-May-16,Nokia,3
