Date,OS,Visits
5-Mar-16,Windows 8.1,76
5-Mar-16,Windows XP,21
5-Mar-16,Windows 8,8
5-Mar-16,Windows Vista,2
5-Mar-16,Windows Server 2003 and XP x64 Edition,1
6-Mar-16,Windows 7,227
6-Mar-16,Windows 10,155
6-Mar-16,Windows 8.1,67
6-Mar-16,Windows XP,21
6-Mar-16,Windows 8,5
6-Mar-16,Windows Vista,5
7-Mar-16,Windows 7,931
7-Mar-16,Windows 10,237
7-Mar-16,Windows 8.1,154
7-Mar-16,Windows XP,32
7-Mar-16,Windows 8,15
7-Mar-16,Windows Server 2003 and XP x64 Edition,5
8-Mar-16,Windows 7,903
8-Mar-16,Windows 10,233
8-Mar-16,Windows 8.1,155
8-Mar-16,Windows XP,14
8-Mar-16,Windows 8,12
8-Mar-16,Windows Vista,3
8-Mar-16,Windows Server 2003 and XP x64 Edition,2
9-Mar-16,Windows 7,1050
9-Mar-16,Windows 10,357
9-Mar-16,Windows 8.1,194
9-Mar-16,Windows XP,28
9-Mar-16,Windows 8,26
9-Mar-16,Windows Server 2003 and XP x64 Edition,4
9-Mar-16,Windows Vista,4
10-Mar-16,Windows 7,1122
10-Mar-16,Windows 10,434
10-Mar-16,Windows 8.1,265
10-Mar-16,Windows XP,36
10-Mar-16,Windows 8,18
10-Mar-16,Windows Vista,6
10-Mar-16,Windows Server 2003 and XP x64 Edition,2
11-Mar-16,Windows 7,868
11-Mar-16,Windows 10,311
11-Mar-16,Windows 8.1,153
11-Mar-16,Windows XP,30
11-Mar-16,Windows 8,18
11-Mar-16,Windows Server 2003 and XP x64 Edition,3
11-Mar-16,Windows Vista,3
12-Mar-16,Windows 7,191
12-Mar-16,Windows 10,167
12-Mar-16,Windows 8.1,66
12-Mar-16,Windows XP,20
12-Mar-16,Windows 8,7
12-Mar-16,Windows Server 2003 and XP x64 Edition,2
12-Mar-16,Windows Vista,2
13-Mar-16,Windows 7,234
13-Mar-16,Windows 10,154
13-Mar-16,Windows 8.1,63
13-Mar-16,Windows XP,20
13-Mar-16,Windows 8,5
13-Mar-16,Windows Server 2003 and XP x64 Edition,1
13-Mar-16,Windows Vista,1
14-Mar-16,Windows 7,918
14-Mar-16,Windows 10,258
14-Mar-16,Windows 8.1,190
14-Mar-16,Windows XP,47
14-Mar-16,Windows 8,21
14-Mar-16,Windows Vista,3
14-Mar-16,Windows Server 2003 and XP x64 Edition,1
15-Mar-16,Windows 7,1028
15-Mar-16,Windows 10,293
15-Mar-16,Windows 8.1,160
15-Mar-16,Windows XP,25
15-Mar-16,Windows 8,17
15-Mar-16,Windows Server 2003 and XP x64 Edition,5
15-Mar-16,Windows Vista,5
16-Mar-16,Windows 7,849
16-Mar-16,Windows 10,210
16-Mar-16,Windows 8.1,196
16-Mar-16,Windows XP,24
16-Mar-16,Windows 8,19
16-Mar-16,Windows Server 2003 and XP x64 Edition,3
16-Mar-16,Windows Vista,3
17-Mar-16,Windows 7,795
17-Mar-16,Windows 10,215
17-Mar-16,Windows 8.1,136
17-Mar-16,Windows XP,22
17-Mar-16,Windows 8,14
17-Mar-16,Windows Vista,8
17-Mar-16,Windows Server 2003 and XP x64 Edition,2
18-Mar-16,Windows 7,706
18-Mar-16,Windows 10,208
18-Mar-16,Windows 8.1,132
18-Mar-16,Windows XP,36
18-Mar-16,Windows 8,20
18-Mar-16,Windows Vista,4
18-Mar-16,Windows Server 2003 and XP x64 Edition,2
19-Mar-16,Windows 7,183
19-Mar-16,Windows 10,136
19-Mar-16,Windows 8.1,68
19-Mar-16,Windows XP,7
19-Mar-16,Windows 8,6
19-Mar-16,Windows Vista,6
19-Mar-16,Windows Server 2003 and XP x64 Edition,2
19-Mar-16,Windows 2000/NT 5,1
20-Mar-16,Windows 7,190
20-Mar-16,Windows 10,157
20-Mar-16,Windows 8.1,57
20-Mar-16,Windows Vista,7
20-Mar-16,Windows XP,6
20-Mar-16,Windows 8,4
20-Mar-16,Windows Server 2003 and XP x64 Edition,4
21-Mar-16,Windows 7,822
21-Mar-16,Windows 10,231
21-Mar-16,Windows 8.1,160
21-Mar-16,Windows 8,14
21-Mar-16,Windows XP,13
21-Mar-16,Windows Server 2003 and XP x64 Edition,3
21-Mar-16,Windows Vista,2
22-Mar-16,Windows 7,891
22-Mar-16,Windows 10,232
22-Mar-16,Windows 8.1,174
22-Mar-16,Windows 8,22
22-Mar-16,Windows XP,17
22-Mar-16,Windows Server 2003 and XP x64 Edition,3
22-Mar-16,Windows Vista,1
23-Mar-16,Windows 7,915
23-Mar-16,Windows 10,244
23-Mar-16,Windows 8.1,176
23-Mar-16,Windows XP,16
23-Mar-16,Windows 8,15
23-Mar-16,Windows Vista,6
23-Mar-16,Windows Server 2003 and XP x64 Edition,2
24-Mar-16,Windows 7,782
24-Mar-16,Windows 10,226
24-Mar-16,Windows 8.1,152
24-Mar-16,Windows XP,21
24-Mar-16,Windows 8,10
24-Mar-16,Windows Vista,8
24-Mar-16,Windows Server 2003 and XP x64 Edition,2
25-Mar-16,Windows 7,460
25-Mar-16,Windows 10,161
25-Mar-16,Windows 8.1,73
25-Mar-16,Windows 8,17
25-Mar-16,Windows XP,15
25-Mar-16,Windows Vista,6
25-Mar-16,Windows Server 2003 and XP x64 Edition,4
26-Mar-16,Windows 7,164
26-Mar-16,Windows 10,120
26-Mar-16,Windows 8.1,51
26-Mar-16,Windows 8,11
26-Mar-16,Windows XP,6
26-Mar-16,Windows Server 2003 and XP x64 Edition,4
27-Mar-16,Windows 7,182
27-Mar-16,Windows 10,138
27-Mar-16,Windows 8.1,57
27-Mar-16,Windows 8,9
27-Mar-16,Windows XP,8
27-Mar-16,Windows Server 2003 and XP x64 Edition,6
27-Mar-16,Windows Vista,2
28-Mar-16,Windows 7,646
28-Mar-16,Windows 10,219
28-Mar-16,Windows 8.1,114
28-Mar-16,Windows 8,18
28-Mar-16,Windows XP,13
28-Mar-16,Windows Vista,4
29-Mar-16,Windows 7,845
29-Mar-16,Windows 10,258
29-Mar-16,Windows 8.1,155
29-Mar-16,Windows XP,20
29-Mar-16,Windows 8,9
29-Mar-16,Windows Vista,8
29-Mar-16,Windows Server 2003 and XP x64 Edition,4
30-Mar-16,Windows 7,878
30-Mar-16,Windows 10,321
30-Mar-16,Windows 8.1,176
30-Mar-16,Windows 8,17
30-Mar-16,Windows XP,16
30-Mar-16,Windows Server 2003 and XP x64 Edition,11
30-Mar-16,Windows Vista,6
31-Mar-16,Windows 7,1569
31-Mar-16,Windows 10,1293
31-Mar-16,Windows 8.1,378
31-Mar-16,Windows 8,33
31-Mar-16,Windows XP,21
31-Mar-16,Windows Server 2003 and XP x64 Edition,13
31-Mar-16,Windows Vista,3
31-Mar-16,Windows 3.x,2
1-Apr-16,Windows 8.1,12096
1-Apr-16,Windows 7,8128
1-Apr-16,Windows 10,6135
1-Apr-16,Windows 8,148
1-Apr-16,Windows XP,129
1-Apr-16,Windows Server 2003 and XP x64 Edition,29
1-Apr-16,Windows Vista,23
1-Apr-16,Windows 3.x,3
1-Apr-16,Windows 98,2
1-Apr-16,Windows 2000/NT 5,1
2-Apr-16,Windows 8.1,15156
2-Apr-16,Windows 10,3303
2-Apr-16,Windows 7,1909
2-Apr-16,Windows 8,114
2-Apr-16,Windows XP,76
2-Apr-16,Windows Vista,18
2-Apr-16,Windows Server 2003 and XP x64 Edition,6
2-Apr-16,Windows 2000/NT 5,1
3-Apr-16,Windows 8.1,14965
3-Apr-16,Windows 10,2133
3-Apr-16,Windows 7,1593
3-Apr-16,Windows 8,78
3-Apr-16,Windows XP,55
3-Apr-16,Windows Vista,23
3-Apr-16,Windows Server 2003 and XP x64 Edition,4
3-Apr-16,Windows 3.x,2
4-Apr-16,Windows 8.1,11973
4-Apr-16,Windows 10,5927
4-Apr-16,Windows 7,5892
4-Apr-16,Windows 8,106
4-Apr-16,Windows XP,86
4-Apr-16,Windows Vista,19
4-Apr-16,Windows Server 2003 and XP x64 Edition,5
4-Apr-16,Windows 3.x,1
5-Apr-16,Windows 8.1,7303
5-Apr-16,Windows 7,5621
5-Apr-16,Windows 10,2838
5-Apr-16,Windows XP,122
5-Apr-16,Windows 8,98
5-Apr-16,Windows Vista,16
5-Apr-16,Windows Server 2003 and XP x64 Edition,10
5-Apr-16,Windows 3.x,3
6-Apr-16,Windows 7,5548
6-Apr-16,Windows 10,1588
6-Apr-16,Windows 8.1,531
6-Apr-16,Windows 8,69
6-Apr-16,Windows XP,68
6-Apr-16,Windows Vista,12
6-Apr-16,Windows Server 2003 and XP x64 Edition,3
7-Apr-16,Windows 7,2119
7-Apr-16,Windows 10,1231
7-Apr-16,Windows 8.1,450
7-Apr-16,Windows 8,59
7-Apr-16,Windows XP,57
7-Apr-16,Windows Vista,13
7-Apr-16,Windows Server 2003 and XP x64 Edition,4
8-Apr-16,Windows 7,1523
8-Apr-16,Windows 10,979
8-Apr-16,Windows 8.1,351
8-Apr-16,Windows 8,58
8-Apr-16,Windows XP,40
8-Apr-16,Windows Vista,9
8-Apr-16,Windows Server 2003 and XP x64 Edition,1
9-Apr-16,Windows 10,663
9-Apr-16,Windows 7,497
9-Apr-16,Windows 8.1,134
9-Apr-16,Windows 8,30
9-Apr-16,Windows XP,24
9-Apr-16,Windows Server 2003 and XP x64 Edition,6
9-Apr-16,Windows Vista,1
10-Apr-16,Windows 10,952
10-Apr-16,Windows 7,626
10-Apr-16,Windows 8.1,212
10-Apr-16,Windows 8,26
10-Apr-16,Windows XP,26
10-Apr-16,Windows Vista,6
10-Apr-16,Windows 3.x,1
11-Apr-16,Windows 7,2452
11-Apr-16,Windows 10,1289
11-Apr-16,Windows 8.1,555
11-Apr-16,Windows XP,51
11-Apr-16,Windows 8,35
11-Apr-16,Windows Vista,6
11-Apr-16,Windows Server 2003 and XP x64 Edition,5
11-Apr-16,Windows 3.x,2
12-Apr-16,Windows 7,2905
12-Apr-16,Windows 10,1345
12-Apr-16,Windows 8.1,521
12-Apr-16,Windows XP,61
12-Apr-16,Windows 8,50
12-Apr-16,Windows Vista,9
12-Apr-16,Windows Server 2003 and XP x64 Edition,1
13-Apr-16,Windows 7,1839
13-Apr-16,Windows 10,947
13-Apr-16,Windows 8.1,358
13-Apr-16,Windows XP,44
13-Apr-16,Windows 8,38
13-Apr-16,Windows Vista,14
13-Apr-16,Windows Server 2003 and XP x64 Edition,2
13-Apr-16,Windows 98,2
14-Apr-16,Windows 7,1614
14-Apr-16,Windows 10,762
14-Apr-16,Windows 8.1,289
14-Apr-16,Windows XP,48
14-Apr-16,Windows 8,24
14-Apr-16,Windows Vista,5
14-Apr-16,Windows Server 2003 and XP x64 Edition,3
15-Apr-16,Windows 7,1321
15-Apr-16,Windows 10,746
15-Apr-16,Windows 8.1,222
15-Apr-16,Windows XP,40
15-Apr-16,Windows 8,23
15-Apr-16,Windows Vista,3
15-Apr-16,Windows Server 2003 and XP x64 Edition,1
16-Apr-16,Windows 10,431
16-Apr-16,Windows 7,375
16-Apr-16,Windows 8.1,99
16-Apr-16,Windows XP,18
16-Apr-16,Windows 8,7
16-Apr-16,Windows Vista,5
16-Apr-16,Windows Server 2003 and XP x64 Edition,1
17-Apr-16,Windows 10,430
17-Apr-16,Windows 7,402
17-Apr-16,Windows 8.1,165
17-Apr-16,Windows XP,23
17-Apr-16,Windows 8,17
17-Apr-16,Windows Vista,7
17-Apr-16,Windows Server 2003 and XP x64 Edition,2
18-Apr-16,Windows 7,1683
18-Apr-16,Windows 10,723
18-Apr-16,Windows 8.1,264
18-Apr-16,Windows XP,31
18-Apr-16,Windows 8,26
18-Apr-16,Windows Vista,7
18-Apr-16,Windows Server 2003 and XP x64 Edition,3
19-Apr-16,Windows 7,2108
19-Apr-16,Windows 10,978
19-Apr-16,Windows 8.1,405
19-Apr-16,Windows 8,47
19-Apr-16,Windows XP,36
19-Apr-16,Windows Vista,8
19-Apr-16,Windows Server 2003 and XP x64 Edition,4
20-Apr-16,Windows 7,1946
20-Apr-16,Windows 10,862
20-Apr-16,Windows 8.1,383
20-Apr-16,Windows 8,40
20-Apr-16,Windows XP,38
20-Apr-16,Windows Vista,7
20-Apr-16,Windows Server 2003 and XP x64 Edition,1
21-Apr-16,Windows 7,1778
21-Apr-16,Windows 10,959
21-Apr-16,Windows 8.1,261
21-Apr-16,Windows 8,38
21-Apr-16,Windows XP,24
21-Apr-16,Windows Vista,11
21-Apr-16,Windows Server 2003 and XP x64 Edition,3
22-Apr-16,Windows 7,1452
22-Apr-16,Windows 10,705
22-Apr-16,Windows 8.1,246
22-Apr-16,Windows 8,29
22-Apr-16,Windows XP,25
22-Apr-16,Windows Vista,6
22-Apr-16,Windows Server 2003 and XP x64 Edition,3
23-Apr-16,Windows 10,819
23-Apr-16,Windows 7,540
23-Apr-16,Windows 8.1,188
23-Apr-16,Windows 8,26
23-Apr-16,Windows XP,20
23-Apr-16,Windows Vista,13
23-Apr-16,Windows Server 2003 and XP x64 Edition,4
24-Apr-16,Windows 10,523
24-Apr-16,Windows 7,520
24-Apr-16,Windows 8.1,126
24-Apr-16,Windows 8,19
24-Apr-16,Windows XP,18
24-Apr-16,Windows Vista,8
24-Apr-16,Windows Server 2003 and XP x64 Edition,3
25-Apr-16,Windows 7,1715
25-Apr-16,Windows 10,771
25-Apr-16,Windows 8.1,339
25-Apr-16,Windows XP,36
25-Apr-16,Windows 8,28
25-Apr-16,Windows Server 2003 and XP x64 Edition,16
25-Apr-16,Windows Vista,12
25-Apr-16,Windows 3.x,1
26-Apr-16,Windows 7,1633
26-Apr-16,Windows 10,767
26-Apr-16,Windows 8.1,307
26-Apr-16,Windows XP,62
26-Apr-16,Windows 8,31
26-Apr-16,Windows Server 2003 and XP x64 Edition,13
26-Apr-16,Windows Vista,10
27-Apr-16,Windows 7,1640
27-Apr-16,Windows 10,697
27-Apr-16,Windows 8.1,294
27-Apr-16,Windows XP,97
27-Apr-16,Windows 8,28
27-Apr-16,Windows Vista,12
27-Apr-16,Windows Server 2003 and XP x64 Edition,4
28-Apr-16,Windows 7,1605
28-Apr-16,Windows 10,679
28-Apr-16,Windows 8.1,292
28-Apr-16,Windows XP,82
28-Apr-16,Windows 8,27
28-Apr-16,Windows Server 2003 and XP x64 Edition,16
28-Apr-16,Windows Vista,6
28-Apr-16,Windows NT,1
29-Apr-16,Windows 7,1373
29-Apr-16,Windows 10,695
29-Apr-16,Windows 8.1,231
29-Apr-16,Windows XP,55
29-Apr-16,Windows 8,30
29-Apr-16,Windows Server 2003 and XP x64 Edition,7
29-Apr-16,Windows Vista,7
30-Apr-16,Windows 10,422
30-Apr-16,Windows 7,338
30-Apr-16,Windows 8.1,100
30-Apr-16,Windows XP,31
30-Apr-16,Windows 8,18
30-Apr-16,Windows Server 2003 and XP x64 Edition,5
30-Apr-16,Windows Vista,4
30-Apr-16,Windows 98,1
1-May-16,Windows 10,386
1-May-16,Windows 7,369
1-May-16,Windows 8.1,99
1-May-16,Windows 8,14
1-May-16,Windows XP,14
1-May-16,Windows Vista,6
1-May-16,Windows Server 2003 and XP x64 Edition,2
2-May-16,Windows 7,1345
2-May-16,Windows 10,709
2-May-16,Windows 8.1,234
2-May-16,Windows 8,30
2-May-16,Windows XP,27
2-May-16,Windows Vista,9
2-May-16,Windows Server 2003 and XP x64 Edition,3
2-May-16,Windows 2000/NT 5,1
3-May-16,Windows 7,1523
3-May-16,Windows 10,572
3-May-16,Windows 8.1,257
3-May-16,Windows XP,29
3-May-16,Windows 8,27
3-May-16,Windows Vista,5
3-May-16,Windows Server 2003 and XP x64 Edition,3
4-May-16,Windows 7,1465
4-May-16,Windows 10,595
4-May-16,Windows 8.1,264
4-May-16,Windows 8,36
4-May-16,Windows XP,31
4-May-16,Windows Vista,7
4-May-16,Windows Server 2003 and XP x64 Edition,3
5-May-16,Windows 7,1350
5-May-16,Windows 10,620
5-May-16,Windows 8.1,217
5-May-16,Windows 8,33
5-May-16,Windows XP,31
5-May-16,Windows Vista,20
5-May-16,Windows Server 2003 and XP x64 Edition,10
5-May-16,Windows 2000/NT 5,1
6-May-16,Windows 7,1267
6-May-16,Windows 10,580
6-May-16,Windows 8.1,236
6-May-16,Windows 8,39
6-May-16,Windows XP,34
6-May-16,Windows Vista,20
6-May-16,Windows Server 2003 and XP x64 Edition,13
7-May-16,Windows 10,461
7-May-16,Windows 7,410
7-May-16,Windows 8.1,109
7-May-16,Windows 8,25
7-May-16,Windows XP,21
7-May-16,Windows Vista,12
7-May-16,Windows Server 2003 and XP x64 Edition,7
8-May-16,Windows 7,476
8-May-16,Windows 10,460
8-May-16,Windows 8.1,135
8-May-16,Windows XP,40
8-May-16,Windows 8,19
8-May-16,Windows Server 2003 and XP x64 Edition,13
8-May-16,Windows Vista,13
9-May-16,Windows 7,1643
9-May-16,Windows 10,698
9-May-16,Windows 8.1,296
9-May-16,Windows 8,36
9-May-16,Windows XP,28
9-May-16,Windows Vista,16
9-May-16,Windows Server 2003 and XP x64 Edition,5
10-May-16,Windows 7,1803
10-May-16,Windows 10,668
10-May-16,Windows 8.1,254
10-May-16,Windows XP,41
10-May-16,Windows 8,29
10-May-16,Windows Vista,16
10-May-16,Windows Server 2003 and XP x64 Edition,2
11-May-16,Windows 7,1565
11-May-16,Windows 10,685
11-May-16,Windows 8.1,277
11-May-16,Windows 8,49
11-May-16,Windows XP,30
11-May-16,Windows Vista,18
11-May-16,Windows Server 2003 and XP x64 Edition,1
12-May-16,Windows 7,1617
12-May-16,Windows 10,659
12-May-16,Windows 8.1,241
12-May-16,Windows XP,54
12-May-16,Windows 8,39
12-May-16,Windows Vista,12
12-May-16,Windows Server 2003 and XP x64 Edition,2
12-May-16,Windows 3.x,2
13-May-16,Windows 7,1494
13-May-16,Windows 10,670
13-May-16,Windows 8.1,230
13-May-16,Windows XP,42
13-May-16,Windows 8,30
13-May-16,Windows Vista,13
13-May-16,Windows Server 2003 and XP x64 Edition,4
13-May-16,Windows NT,1
14-May-16,Windows 10,601
14-May-16,Windows 7,475
14-May-16,Windows 8.1,115
14-May-16,Windows XP,33
14-May-16,Windows 8,25
14-May-16,Windows Vista,21
14-May-16,Windows Server 2003 and XP x64 Edition,1
15-May-16,Windows 7,555
15-May-16,Windows 10,541
15-May-16,Windows 8.1,110
15-May-16,Windows XP,36
15-May-16,Windows 8,15
15-May-16,Windows Vista,12
15-May-16,Windows Server 2003 and XP x64 Edition,3
16-May-16,Windows 7,1369
16-May-16,Windows 10,626
16-May-16,Windows 8.1,213
16-May-16,Windows XP,61
16-May-16,Windows 8,36
16-May-16,Windows Vista,12
16-May-16,Windows Server 2003 and XP x64 Edition,1
17-May-16,Windows 7,1637
17-May-16,Windows 10,719
17-May-16,Windows 8.1,275
17-May-16,Windows XP,29
17-May-16,Windows 8,28
17-May-16,Windows Vista,13
17-May-16,Windows Server 2003 and XP x64 Edition,4
18-May-16,Windows 7,1847
18-May-16,Windows 10,737
18-May-16,Windows 8.1,274
18-May-16,Windows 8,55
18-May-16,Windows XP,41
18-May-16,Windows Vista,15
18-May-16,Windows Server 2003 and XP x64 Edition,5
