Date,Operating Systems,Visits
25-Feb-16,Windows Server 2003 and XP x64 Edition,168
25-Feb-16,Windows NT,30
25-Feb-16,Windows 3.x,24
25-Feb-16,Windows 2000/NT 5,5
26-Feb-16,Windows 7,91184
26-Feb-16,Windows 10,22219
26-Feb-16,Windows 8.1,15395
26-Feb-16,Windows XP,2746
26-Feb-16,Windows 8,1736
26-Feb-16,Windows Vista,571
26-Feb-16,Windows Server 2003 and XP x64 Edition,129
26-Feb-16,Windows 3.x,29
26-Feb-16,Windows NT,14
26-Feb-16,Windows 2000/NT 5,6
27-Feb-16,Windows 7,23255
27-Feb-16,Windows 10,14197
27-Feb-16,Windows 8.1,6154
27-Feb-16,Windows XP,1478
27-Feb-16,Windows 8,957
27-Feb-16,Windows Vista,427
27-Feb-16,Windows Server 2003 and XP x64 Edition,25
27-Feb-16,Windows NT,23
27-Feb-16,Windows 2000/NT 5,4
27-Feb-16,Windows 3.x,3
28-Feb-16,Windows 7,32354
28-Feb-16,Windows 10,15162
28-Feb-16,Windows 8.1,7509
28-Feb-16,Windows XP,1521
28-Feb-16,Windows 8,1051
28-Feb-16,Windows Vista,493
28-Feb-16,Windows Server 2003 and XP x64 Edition,51
28-Feb-16,Windows NT,25
28-Feb-16,Windows 2000/NT 5,3
28-Feb-16,Windows 3.x,2
29-Feb-16,Windows 7,112386
29-Feb-16,Windows 10,25848
29-Feb-16,Windows 8.1,18336
29-Feb-16,Windows XP,2975
29-Feb-16,Windows 8,2056
29-Feb-16,Windows Vista,731
29-Feb-16,Windows Server 2003 and XP x64 Edition,146
29-Feb-16,Windows NT,34
29-Feb-16,Windows 3.x,10
29-Feb-16,Windows 2000/NT 5,7
1-Mar-16,Windows 7,130086
1-Mar-16,Windows 10,28820
1-Mar-16,Windows 8.1,20491
1-Mar-16,Windows XP,2987
1-Mar-16,Windows 8,2170
1-Mar-16,Windows Vista,760
1-Mar-16,Windows Server 2003 and XP x64 Edition,228
1-Mar-16,Windows NT,17
1-Mar-16,Windows 3.x,9
1-Mar-16,Windows 2000/NT 5,8
2-Mar-16,Windows 7,128560
2-Mar-16,Windows 10,27890
2-Mar-16,Windows 8.1,20385
2-Mar-16,Windows XP,3082
2-Mar-16,Windows 8,2304
2-Mar-16,Windows Vista,751
2-Mar-16,Windows Server 2003 and XP x64 Edition,215
2-Mar-16,Windows NT,14
2-Mar-16,Windows 3.x,12
2-Mar-16,Windows 2000/NT 5,9
3-Mar-16,Windows 7,120363
3-Mar-16,Windows 10,26194
3-Mar-16,Windows 8.1,18959
3-Mar-16,Windows XP,2934
3-Mar-16,Windows 8,2168
3-Mar-16,Windows Vista,723
3-Mar-16,Windows Server 2003 and XP x64 Edition,181
3-Mar-16,Windows 3.x,38
3-Mar-16,Windows NT,22
3-Mar-16,Media Center 2005,3
4-Mar-16,Windows 7,95721
4-Mar-16,Windows 10,23694
4-Mar-16,Windows 8.1,15482
4-Mar-16,Windows XP,2570
4-Mar-16,Windows 8,1817
4-Mar-16,Windows Vista,667
4-Mar-16,Windows Server 2003 and XP x64 Edition,128
4-Mar-16,Windows 3.x,46
4-Mar-16,Windows 2000/NT 5,8
4-Mar-16,Windows 98,4
5-Mar-16,Windows 7,25126
5-Mar-16,Windows 10,14893
5-Mar-16,Windows 8.1,6708
5-Mar-16,Windows XP,1794
5-Mar-16,Windows 8,1151
5-Mar-16,Windows Vista,442
5-Mar-16,Windows Server 2003 and XP x64 Edition,59
5-Mar-16,Windows NT,9
5-Mar-16,Windows 2000/NT 5,2
5-Mar-16,Windows 3.x,2
6-Mar-16,Windows 7,34528
6-Mar-16,Windows 10,16007
6-Mar-16,Windows 8.1,7856
6-Mar-16,Windows XP,1968
6-Mar-16,Windows 8,1172
6-Mar-16,Windows Vista,537
6-Mar-16,Windows Server 2003 and XP x64 Edition,69
6-Mar-16,Windows 2000/NT 5,6
6-Mar-16,Windows 3.x,3
6-Mar-16,Windows NT,2
7-Mar-16,Windows 7,114014
7-Mar-16,Windows 10,25621
7-Mar-16,Windows 8.1,17792
7-Mar-16,Windows XP,3096
7-Mar-16,Windows 8,2122
7-Mar-16,Windows Vista,705
7-Mar-16,Windows Server 2003 and XP x64 Edition,148
7-Mar-16,Windows NT,29
7-Mar-16,Windows 3.x,22
7-Mar-16,Windows 2000/NT 5,16
8-Mar-16,Windows 7,122646
8-Mar-16,Windows 10,27723
8-Mar-16,Windows 8.1,18988
8-Mar-16,Windows XP,2993
8-Mar-16,Windows 8,2194
8-Mar-16,Windows Vista,710
8-Mar-16,Windows Server 2003 and XP x64 Edition,171
8-Mar-16,Windows NT,24
8-Mar-16,Windows 2000/NT 5,5
8-Mar-16,Windows 3.x,5
9-Mar-16,Windows 7,119934
9-Mar-16,Windows 10,27021
9-Mar-16,Windows 8.1,18537
9-Mar-16,Windows XP,2949
9-Mar-16,Windows 8,2270
9-Mar-16,Windows Vista,724
9-Mar-16,Windows Server 2003 and XP x64 Edition,157
9-Mar-16,Windows NT,26
9-Mar-16,Windows 2000/NT 5,9
9-Mar-16,Windows 98,2
10-Mar-16,Windows 7,119854
10-Mar-16,Windows 10,26807
10-Mar-16,Windows 8.1,18461
10-Mar-16,Windows XP,2960
10-Mar-16,Windows 8,2230
10-Mar-16,Windows Vista,886
10-Mar-16,Windows Server 2003 and XP x64 Edition,194
10-Mar-16,Windows NT,26
10-Mar-16,Windows 2000/NT 5,13
10-Mar-16,Windows 3.x,5
11-Mar-16,Windows 7,91833
11-Mar-16,Windows 10,22814
11-Mar-16,Windows 8.1,14883
11-Mar-16,Windows XP,2561
11-Mar-16,Windows 8,1864
11-Mar-16,Windows Vista,844
11-Mar-16,Windows Server 2003 and XP x64 Edition,158
11-Mar-16,Windows NT,14
11-Mar-16,Windows 3.x,10
11-Mar-16,Windows 2000/NT 5,8
12-Mar-16,Windows 7,23762
12-Mar-16,Windows 10,14748
12-Mar-16,Windows 8.1,6129
12-Mar-16,Windows XP,1572
12-Mar-16,Windows 8,1113
12-Mar-16,Windows Vista,358
12-Mar-16,Windows Server 2003 and XP x64 Edition,67
12-Mar-16,Windows NT,26
12-Mar-16,Windows 2000/NT 5,3
12-Mar-16,Windows 3.x,2
13-Mar-16,Windows 7,30795
13-Mar-16,Windows 10,15712
13-Mar-16,Windows 8.1,7153
13-Mar-16,Windows XP,1602
13-Mar-16,Windows 8,1123
13-Mar-16,Windows Vista,417
13-Mar-16,Windows Server 2003 and XP x64 Edition,64
13-Mar-16,Windows NT,32
13-Mar-16,Media Center 2005,3
13-Mar-16,Windows 3.x,3
14-Mar-16,Windows 7,114355
14-Mar-16,Windows 10,26808
14-Mar-16,Windows 8.1,17967
14-Mar-16,Windows XP,2969
14-Mar-16,Windows 8,2254
14-Mar-16,Windows Vista,660
14-Mar-16,Windows Server 2003 and XP x64 Edition,203
14-Mar-16,Windows NT,42
14-Mar-16,Windows 3.x,8
14-Mar-16,Windows 2000/NT 5,7
15-Mar-16,Windows 7,118112
15-Mar-16,Windows 10,27240
15-Mar-16,Windows 8.1,18417
15-Mar-16,Windows XP,2998
15-Mar-16,Windows 8,2241
15-Mar-16,Windows Vista,668
15-Mar-16,Windows Server 2003 and XP x64 Edition,193
15-Mar-16,Windows NT,41
15-Mar-16,Windows 3.x,11
15-Mar-16,Windows 2000/NT 5,4
16-Mar-16,Windows 7,118508
16-Mar-16,Windows 10,27576
16-Mar-16,Windows 8.1,18426
16-Mar-16,Windows XP,2893
16-Mar-16,Windows 8,2119
16-Mar-16,Windows Vista,715
16-Mar-16,Windows Server 2003 and XP x64 Edition,179
16-Mar-16,Windows 3.x,9
16-Mar-16,Windows NT,8
16-Mar-16,Windows 2000/NT 5,6
17-Mar-16,Windows 7,114305
17-Mar-16,Windows 10,26340
17-Mar-16,Windows 8.1,17716
17-Mar-16,Windows XP,2695
17-Mar-16,Windows 8,2059
17-Mar-16,Windows Vista,676
17-Mar-16,Windows Server 2003 and XP x64 Edition,208
17-Mar-16,Windows 3.x,8
17-Mar-16,Windows NT,7
17-Mar-16,Windows 2000/NT 5,4
18-Mar-16,Windows 7,91218
18-Mar-16,Windows 10,23787
18-Mar-16,Windows 8.1,15191
18-Mar-16,Windows XP,2344
18-Mar-16,Windows 8,1825
18-Mar-16,Windows Vista,539
18-Mar-16,Windows Server 2003 and XP x64 Edition,139
18-Mar-16,Windows NT,21
18-Mar-16,Windows 3.x,9
18-Mar-16,Windows 2000/NT 5,8
19-Mar-16,Windows 7,22353
19-Mar-16,Windows 10,14132
19-Mar-16,Windows 8.1,6102
19-Mar-16,Windows XP,1257
19-Mar-16,Windows 8,1017
19-Mar-16,Windows Vista,361
19-Mar-16,Windows Server 2003 and XP x64 Edition,57
19-Mar-16,Windows NT,26
19-Mar-16,Windows 2000/NT 5,5
19-Mar-16,Windows 3.x,4
20-Mar-16,Windows 7,25964
20-Mar-16,Windows 10,14877
20-Mar-16,Windows 8.1,6096
20-Mar-16,Windows XP,1160
20-Mar-16,Windows 8,1013
20-Mar-16,Windows Vista,342
20-Mar-16,Windows Server 2003 and XP x64 Edition,53
20-Mar-16,Windows NT,14
20-Mar-16,Windows 2000/NT 5,5
20-Mar-16,Windows 3.x,4
21-Mar-16,Windows 7,101391
21-Mar-16,Windows 10,25214
21-Mar-16,Windows 8.1,15914
21-Mar-16,Windows XP,2249
21-Mar-16,Windows 8,1906
21-Mar-16,Windows Vista,478
21-Mar-16,Windows Server 2003 and XP x64 Edition,151
21-Mar-16,Windows NT,19
21-Mar-16,Windows 2000/NT 5,2
21-Mar-16,Windows 3.x,2
22-Mar-16,Windows 7,113087
22-Mar-16,Windows 10,26605
22-Mar-16,Windows 8.1,17171
22-Mar-16,Windows XP,2520
22-Mar-16,Windows 8,2073
22-Mar-16,Windows Vista,547
22-Mar-16,Windows Server 2003 and XP x64 Edition,176
22-Mar-16,Windows NT,44
22-Mar-16,Windows 3.x,5
22-Mar-16,Windows 2000/NT 5,2
23-Mar-16,Windows 7,106752
23-Mar-16,Windows 10,26325
23-Mar-16,Windows 8.1,16520
23-Mar-16,Windows XP,2369
23-Mar-16,Windows 8,1944
23-Mar-16,Windows Vista,573
23-Mar-16,Windows Server 2003 and XP x64 Edition,174
23-Mar-16,Windows 3.x,23
23-Mar-16,Windows NT,22
23-Mar-16,Windows 2000/NT 5,4
24-Mar-16,Windows 7,94161
24-Mar-16,Windows 10,24018
24-Mar-16,Windows 8.1,14014
24-Mar-16,Windows XP,2271
24-Mar-16,Windows 8,1659
24-Mar-16,Windows Vista,495
24-Mar-16,Windows Server 2003 and XP x64 Edition,141
24-Mar-16,Windows NT,13
24-Mar-16,Windows 3.x,5
24-Mar-16,Windows 2000/NT 5,4
25-Mar-16,Windows 7,54755
25-Mar-16,Windows 10,18188
25-Mar-16,Windows 8.1,9110
25-Mar-16,Windows XP,1629
25-Mar-16,Windows 8,1152
25-Mar-16,Windows Vista,422
25-Mar-16,Windows Server 2003 and XP x64 Edition,81
25-Mar-16,Windows NT,12
25-Mar-16,Windows 2000/NT 5,5
25-Mar-16,Windows 3.x,3
26-Mar-16,Windows 7,19074
26-Mar-16,Windows 10,12936
26-Mar-16,Windows 8.1,5015
26-Mar-16,Windows XP,1283
26-Mar-16,Windows 8,987
26-Mar-16,Windows Vista,293
26-Mar-16,Windows Server 2003 and XP x64 Edition,37
26-Mar-16,Windows NT,28
26-Mar-16,Windows 2000/NT 5,3
26-Mar-16,Windows 3.x,3
27-Mar-16,Windows 7,24792
27-Mar-16,Windows 10,13663
27-Mar-16,Windows 8.1,5616
27-Mar-16,Windows XP,1095
27-Mar-16,Windows 8,896
27-Mar-16,Windows Vista,298
27-Mar-16,Windows Server 2003 and XP x64 Edition,55
27-Mar-16,Windows NT,15
27-Mar-16,Windows 2000/NT 5,2
28-Mar-16,Windows 7,83778
28-Mar-16,Windows 10,22667
28-Mar-16,Windows 8.1,13558
28-Mar-16,Windows XP,2040
28-Mar-16,Windows 8,1646
28-Mar-16,Windows Vista,463
28-Mar-16,Windows Server 2003 and XP x64 Edition,123
28-Mar-16,Windows NT,7
28-Mar-16,Windows 3.x,3
28-Mar-16,Media Center 2005,1
29-Mar-16,Windows 7,110806
29-Mar-16,Windows 10,27495
29-Mar-16,Windows 8.1,17345
29-Mar-16,Windows XP,2398
29-Mar-16,Windows 8,1964
29-Mar-16,Windows Vista,554
29-Mar-16,Windows Server 2003 and XP x64 Edition,181
29-Mar-16,Windows 2000/NT 5,4
29-Mar-16,Windows 3.x,4
29-Mar-16,Windows NT,3
30-Mar-16,Windows 7,108723
30-Mar-16,Windows 10,26475
30-Mar-16,Windows 8.1,16921
30-Mar-16,Windows XP,2286
30-Mar-16,Windows 8,1977
30-Mar-16,Windows Vista,584
30-Mar-16,Windows Server 2003 and XP x64 Edition,171
30-Mar-16,Windows NT,10
30-Mar-16,Windows 3.x,7
30-Mar-16,Windows 2000/NT 5,3
31-Mar-16,Windows 7,104217
31-Mar-16,Windows 10,26223
31-Mar-16,Windows 8.1,16130
31-Mar-16,Windows XP,2208
31-Mar-16,Windows 8,1936
31-Mar-16,Windows Vista,501
31-Mar-16,Windows Server 2003 and XP x64 Edition,173
31-Mar-16,Windows 3.x,7
31-Mar-16,Windows 2000/NT 5,2
31-Mar-16,Windows NT,1
1-Apr-16,Windows 7,94353
1-Apr-16,Windows 10,29478
1-Apr-16,Windows 8.1,25614
1-Apr-16,Windows XP,2271
1-Apr-16,Windows 8,1861
1-Apr-16,Windows Vista,494
1-Apr-16,Windows Server 2003 and XP x64 Edition,164
1-Apr-16,Windows 2000/NT 5,4
1-Apr-16,Windows 3.x,3
1-Apr-16,Windows 98,3
2-Apr-16,Windows 7,22798
2-Apr-16,Windows 8.1,21273
2-Apr-16,Windows 10,17893
2-Apr-16,Windows XP,1315
2-Apr-16,Windows 8,1123
2-Apr-16,Windows Vista,333
2-Apr-16,Windows Server 2003 and XP x64 Edition,59
2-Apr-16,Windows NT,7
2-Apr-16,Windows 2000/NT 5,2
2-Apr-16,Windows 3.x,2
3-Apr-16,Windows 7,27487
3-Apr-16,Windows 8.1,20975
3-Apr-16,Windows 10,17121
3-Apr-16,Windows XP,1269
3-Apr-16,Windows 8,1029
3-Apr-16,Windows Vista,310
3-Apr-16,Windows Server 2003 and XP x64 Edition,54
3-Apr-16,Windows NT,13
3-Apr-16,Windows 3.x,7
3-Apr-16,Windows 2000/NT 5,1
4-Apr-16,Windows 7,110256
4-Apr-16,Windows 10,31913
4-Apr-16,Windows 8.1,28455
4-Apr-16,Windows XP,2099
4-Apr-16,Windows 8,1987
4-Apr-16,Windows Vista,494
4-Apr-16,Windows Server 2003 and XP x64 Edition,252
4-Apr-16,Windows 2000/NT 5,3
4-Apr-16,Windows NT,3
4-Apr-16,Windows 3.x,2
5-Apr-16,Windows 7,117060
5-Apr-16,Windows 10,29958
5-Apr-16,Windows 8.1,24257
5-Apr-16,Windows XP,2408
5-Apr-16,Windows 8,2119
5-Apr-16,Windows Vista,513
5-Apr-16,Windows Server 2003 and XP x64 Edition,166
5-Apr-16,Windows 3.x,12
5-Apr-16,Windows NT,7
5-Apr-16,Windows 2000/NT 5,4
6-Apr-16,Windows 7,117786
6-Apr-16,Windows 10,28832
6-Apr-16,Windows 8.1,17607
6-Apr-16,Windows XP,2456
6-Apr-16,Windows 8,2107
6-Apr-16,Windows Vista,522
6-Apr-16,Windows Server 2003 and XP x64 Edition,168
6-Apr-16,Windows NT,5
6-Apr-16,Windows 2000/NT 5,1
6-Apr-16,Windows 3.x,1
7-Apr-16,Windows 7,111224
7-Apr-16,Windows 10,27603
7-Apr-16,Windows 8.1,16720
7-Apr-16,Windows XP,2210
7-Apr-16,Windows 8,2075
7-Apr-16,Windows Vista,509
7-Apr-16,Windows Server 2003 and XP x64 Edition,157
7-Apr-16,Windows NT,9
7-Apr-16,Windows 98,4
7-Apr-16,Windows 3.x,2
8-Apr-16,Windows 7,84345
8-Apr-16,Windows 10,23309
8-Apr-16,Windows 8.1,13142
8-Apr-16,Windows XP,1895
8-Apr-16,Windows 8,1619
8-Apr-16,Windows Vista,465
8-Apr-16,Windows Server 2003 and XP x64 Edition,113
8-Apr-16,Windows 2000/NT 5,4
8-Apr-16,Windows 3.x,4
8-Apr-16,Windows 98,3
9-Apr-16,Windows 7,20829
9-Apr-16,Windows 10,14688
9-Apr-16,Windows 8.1,5311
9-Apr-16,Windows XP,1330
9-Apr-16,Windows 8,948
9-Apr-16,Windows Vista,270
9-Apr-16,Windows Server 2003 and XP x64 Edition,56
9-Apr-16,Windows NT,10
9-Apr-16,Windows 2000/NT 5,2
10-Apr-16,Windows 7,28395
10-Apr-16,Windows 10,15834
10-Apr-16,Windows 8.1,6353
10-Apr-16,Windows XP,1082
10-Apr-16,Windows 8,969
10-Apr-16,Windows Vista,304
10-Apr-16,Windows Server 2003 and XP x64 Edition,63
10-Apr-16,Windows NT,8
10-Apr-16,Windows 2000/NT 5,2
10-Apr-16,Media Center 2005,1
11-Apr-16,Windows 7,110657
11-Apr-16,Windows 10,27900
11-Apr-16,Windows 8.1,16771
11-Apr-16,Windows XP,2442
11-Apr-16,Windows 8,1881
11-Apr-16,Windows Vista,559
11-Apr-16,Windows Server 2003 and XP x64 Edition,178
11-Apr-16,Windows NT,7
11-Apr-16,Windows 98,5
11-Apr-16,Windows 3.x,4
12-Apr-16,Windows 7,116870
12-Apr-16,Windows 10,28636
12-Apr-16,Windows 8.1,17575
12-Apr-16,Windows XP,2385
12-Apr-16,Windows 8,2035
12-Apr-16,Windows Vista,725
12-Apr-16,Windows Server 2003 and XP x64 Edition,193
12-Apr-16,Windows NT,14
12-Apr-16,Windows 3.x,4
12-Apr-16,Windows 98,3
13-Apr-16,Windows 7,115690
13-Apr-16,Windows 10,28442
13-Apr-16,Windows 8.1,17037
13-Apr-16,Windows XP,2334
13-Apr-16,Windows 8,1920
13-Apr-16,Windows Vista,719
13-Apr-16,Windows Server 2003 and XP x64 Edition,198
13-Apr-16,Windows NT,10
13-Apr-16,Windows 3.x,5
13-Apr-16,Windows 98,4
14-Apr-16,Windows 7,111229
14-Apr-16,Windows 10,27650
14-Apr-16,Windows 8.1,16520
14-Apr-16,Windows XP,2294
14-Apr-16,Windows 8,1850
14-Apr-16,Windows Vista,492
14-Apr-16,Windows Server 2003 and XP x64 Edition,156
14-Apr-16,Windows NT,11
14-Apr-16,Windows 2000/NT 5,5
14-Apr-16,Windows 3.x,4
15-Apr-16,Windows 7,87930
15-Apr-16,Windows 10,23933
15-Apr-16,Windows 8.1,13416
15-Apr-16,Windows XP,1856
15-Apr-16,Windows 8,1658
15-Apr-16,Windows Vista,441
15-Apr-16,Windows Server 2003 and XP x64 Edition,98
15-Apr-16,Windows NT,15
15-Apr-16,Windows 2000/NT 5,4
15-Apr-16,Windows 3.x,1
16-Apr-16,Windows 7,20767
16-Apr-16,Windows 10,14624
16-Apr-16,Windows 8.1,5158
16-Apr-16,Windows XP,1154
16-Apr-16,Windows 8,819
16-Apr-16,Windows Vista,366
16-Apr-16,Windows Server 2003 and XP x64 Edition,35
16-Apr-16,Windows NT,8
16-Apr-16,Windows 2000/NT 5,2
16-Apr-16,Windows 3.x,2
17-Apr-16,Windows 7,28214
17-Apr-16,Windows 10,15779
17-Apr-16,Windows 8.1,6241
17-Apr-16,Windows XP,1290
17-Apr-16,Windows 8,922
17-Apr-16,Windows Vista,293
17-Apr-16,Windows Server 2003 and XP x64 Edition,62
17-Apr-16,Windows NT,9
17-Apr-16,Windows 3.x,3
17-Apr-16,Windows 98,3
18-Apr-16,Windows 7,112017
18-Apr-16,Windows 10,28325
18-Apr-16,Windows 8.1,16764
18-Apr-16,Windows XP,2487
18-Apr-16,Windows 8,1911
18-Apr-16,Windows Vista,519
18-Apr-16,Windows Server 2003 and XP x64 Edition,165
18-Apr-16,Windows NT,10
18-Apr-16,Windows 2000/NT 5,5
18-Apr-16,Windows 3.x,4
19-Apr-16,Windows 7,117742
19-Apr-16,Windows 10,30495
19-Apr-16,Windows 8.1,17833
19-Apr-16,Windows XP,2657
19-Apr-16,Windows 8,2018
19-Apr-16,Windows Vista,556
19-Apr-16,Windows Server 2003 and XP x64 Edition,188
19-Apr-16,Windows NT,16
19-Apr-16,Windows 3.x,11
19-Apr-16,Media Center 2005,4
20-Apr-16,Windows 7,113580
20-Apr-16,Windows 10,28793
20-Apr-16,Windows 8.1,17365
20-Apr-16,Windows XP,2249
20-Apr-16,Windows 8,1958
20-Apr-16,Windows Vista,522
20-Apr-16,Windows Server 2003 and XP x64 Edition,172
20-Apr-16,Windows 3.x,8
20-Apr-16,Windows NT,5
20-Apr-16,Windows 2000/NT 5,3
21-Apr-16,Windows 7,109739
21-Apr-16,Windows 10,28136
21-Apr-16,Windows 8.1,16117
21-Apr-16,Windows XP,2302
21-Apr-16,Windows 8,1819
21-Apr-16,Windows Vista,576
21-Apr-16,Windows Server 2003 and XP x64 Edition,125
21-Apr-16,Windows NT,11
21-Apr-16,Windows 3.x,5
21-Apr-16,Windows 2000/NT 5,4
22-Apr-16,Windows 7,88737
22-Apr-16,Windows 10,24250
22-Apr-16,Windows 8.1,13457
22-Apr-16,Windows XP,2064
22-Apr-16,Windows 8,1655
22-Apr-16,Windows Vista,518
22-Apr-16,Windows Server 2003 and XP x64 Edition,131
22-Apr-16,Windows NT,13
22-Apr-16,Windows 2000/NT 5,4
22-Apr-16,Windows 3.x,4
23-Apr-16,Windows 7,21401
23-Apr-16,Windows 10,15119
23-Apr-16,Windows 8.1,5267
23-Apr-16,Windows XP,1165
23-Apr-16,Windows 8,922
23-Apr-16,Windows Vista,302
23-Apr-16,Windows Server 2003 and XP x64 Edition,38
23-Apr-16,Windows NT,18
23-Apr-16,Windows 2000/NT 5,3
23-Apr-16,Windows 98,1
24-Apr-16,Windows 7,27433
24-Apr-16,Windows 10,16185
24-Apr-16,Windows 8.1,6048
24-Apr-16,Windows XP,1108
24-Apr-16,Windows 8,949
24-Apr-16,Windows Vista,337
24-Apr-16,Windows Server 2003 and XP x64 Edition,45
24-Apr-16,Windows NT,10
24-Apr-16,Windows 2000/NT 5,4
24-Apr-16,Windows 3.x,4
25-Apr-16,Windows 7,108978
25-Apr-16,Windows 10,28687
25-Apr-16,Windows 8.1,16835
25-Apr-16,Windows XP,2554
25-Apr-16,Windows 8,1904
25-Apr-16,Windows Vista,521
25-Apr-16,Windows Server 2003 and XP x64 Edition,209
25-Apr-16,Windows NT,15
25-Apr-16,Windows 2000/NT 5,4
25-Apr-16,Windows 98,4
26-Apr-16,Windows 7,115326
26-Apr-16,Windows 10,29543
26-Apr-16,Windows 8.1,17877
26-Apr-16,Windows XP,2488
26-Apr-16,Windows 8,1911
26-Apr-16,Windows Vista,583
26-Apr-16,Windows Server 2003 and XP x64 Edition,193
26-Apr-16,Windows NT,12
26-Apr-16,Windows 2000/NT 5,8
26-Apr-16,Windows 3.x,6
27-Apr-16,Windows 7,110645
27-Apr-16,Windows 10,28783
27-Apr-16,Windows 8.1,16651
27-Apr-16,Windows XP,2495
27-Apr-16,Windows 8,1856
27-Apr-16,Windows Vista,535
27-Apr-16,Windows Server 2003 and XP x64 Edition,197
27-Apr-16,Windows NT,12
27-Apr-16,Windows 3.x,6
27-Apr-16,Windows 2000/NT 5,3
28-Apr-16,Windows 7,107065
28-Apr-16,Windows 10,28199
28-Apr-16,Windows 8.1,16144
28-Apr-16,Windows XP,2372
28-Apr-16,Windows 8,1804
28-Apr-16,Windows Vista,529
28-Apr-16,Windows Server 2003 and XP x64 Edition,168
28-Apr-16,Windows NT,14
28-Apr-16,Windows 3.x,10
28-Apr-16,Windows 2000/NT 5,3
29-Apr-16,Windows 7,79847
29-Apr-16,Windows 10,23815
29-Apr-16,Windows 8.1,12479
29-Apr-16,Windows XP,1880
29-Apr-16,Windows 8,1585
29-Apr-16,Windows Vista,396
29-Apr-16,Windows Server 2003 and XP x64 Edition,133
29-Apr-16,Windows NT,18
29-Apr-16,Windows 2000/NT 5,3
29-Apr-16,Windows 3.x,2
30-Apr-16,Windows 7,19329
30-Apr-16,Windows 10,13813
30-Apr-16,Windows 8.1,4709
30-Apr-16,Windows XP,1238
30-Apr-16,Windows 8,855
30-Apr-16,Windows Vista,342
30-Apr-16,Windows Server 2003 and XP x64 Edition,47
30-Apr-16,Windows NT,5
30-Apr-16,Windows 2000/NT 5,1
30-Apr-16,Windows 98,1
1-May-16,Windows 7,22537
1-May-16,Windows 10,14467
1-May-16,Windows 8.1,5218
1-May-16,Windows XP,976
1-May-16,Windows 8,843
1-May-16,Windows Vista,421
1-May-16,Windows Server 2003 and XP x64 Edition,60
1-May-16,Windows NT,9
1-May-16,Windows 3.x,4
1-May-16,Windows 98,1
2-May-16,Windows 7,87822
2-May-16,Windows 10,25557
2-May-16,Windows 8.1,13623
2-May-16,Windows XP,1905
2-May-16,Windows 8,1562
2-May-16,Windows Vista,492
2-May-16,Windows Server 2003 and XP x64 Edition,93
2-May-16,Windows NT,21
2-May-16,Windows 98,4
2-May-16,Windows 2000/NT 5,3
3-May-16,Windows 7,99527
3-May-16,Windows 10,28277
3-May-16,Windows 8.1,15016
3-May-16,Windows XP,2198
3-May-16,Windows 8,1806
3-May-16,Windows Vista,431
3-May-16,Windows Server 2003 and XP x64 Edition,174
3-May-16,Windows NT,25
