Date,Operating Systems,Visits
14-Apr-16,Windows Server 2003 and XP x64 Edition,1
15-Apr-16,Windows 7,245
15-Apr-16,Windows 10,95
15-Apr-16,Windows 8.1,42
15-Apr-16,Windows Vista,9
15-Apr-16,Windows 8,3
15-Apr-16,Windows XP,3
16-Apr-16,Windows 7,58
16-Apr-16,Windows 10,48
16-Apr-16,Windows 8.1,23
16-Apr-16,Windows Vista,8
16-Apr-16,Windows XP,6
16-Apr-16,Windows 8,1
17-Apr-16,Windows 7,79
17-Apr-16,Windows 10,57
17-Apr-16,Windows 8.1,28
17-Apr-16,Windows Vista,4
17-Apr-16,Windows XP,4
17-Apr-16,Windows 8,3
18-Apr-16,Windows 7,264
18-Apr-16,Windows 10,86
18-Apr-16,Windows 8.1,68
18-Apr-16,Windows XP,14
18-Apr-16,Windows Vista,5
18-Apr-16,Windows 8,3
19-Apr-16,Windows 7,468
19-Apr-16,Windows 10,237
19-Apr-16,Windows 8.1,114
19-Apr-16,Windows XP,19
19-Apr-16,Windows 8,13
19-Apr-16,Windows Vista,2
20-Apr-16,Windows 7,463
20-Apr-16,Windows 10,152
20-Apr-16,Windows 8.1,96
20-Apr-16,Windows XP,19
20-Apr-16,Windows 8,14
20-Apr-16,Windows Vista,3
21-Apr-16,Windows 7,330
21-Apr-16,Windows 10,123
21-Apr-16,Windows 8.1,71
21-Apr-16,Windows XP,19
21-Apr-16,Windows Vista,6
21-Apr-16,Windows 8,5
22-Apr-16,Windows 7,293
22-Apr-16,Windows 10,99
22-Apr-16,Windows 8.1,56
22-Apr-16,Windows XP,7
22-Apr-16,Windows 8,1
22-Apr-16,Windows Vista,1
23-Apr-16,Windows 7,71
23-Apr-16,Windows 10,68
23-Apr-16,Windows 8.1,31
23-Apr-16,Windows XP,3
23-Apr-16,Windows 8,2
23-Apr-16,Windows Vista,1
24-Apr-16,Windows 10,107
24-Apr-16,Windows 7,89
24-Apr-16,Windows 8.1,46
24-Apr-16,Windows XP,24
24-Apr-16,Windows Vista,2
25-Apr-16,Windows 7,302
25-Apr-16,Windows 10,112
25-Apr-16,Windows 8.1,57
25-Apr-16,Windows XP,20
25-Apr-16,Windows 8,7
25-Apr-16,Windows Vista,5
26-Apr-16,Windows 7,274
26-Apr-16,Windows 10,114
26-Apr-16,Windows 8.1,58
26-Apr-16,Windows XP,8
26-Apr-16,Windows 8,2
26-Apr-16,Windows Vista,1
27-Apr-16,Windows 7,352
27-Apr-16,Windows 10,111
27-Apr-16,Windows 8.1,81
27-Apr-16,Windows XP,16
27-Apr-16,Windows 8,9
27-Apr-16,Windows Vista,4
28-Apr-16,Windows 7,351
28-Apr-16,Windows 10,90
28-Apr-16,Windows 8.1,65
28-Apr-16,Windows XP,16
28-Apr-16,Windows 8,6
28-Apr-16,Windows Vista,4
29-Apr-16,Windows 7,321
29-Apr-16,Windows 10,152
29-Apr-16,Windows 8.1,80
29-Apr-16,Windows XP,25
29-Apr-16,Windows 8,8
29-Apr-16,Windows Vista,3
30-Apr-16,Windows 10,86
30-Apr-16,Windows 7,78
30-Apr-16,Windows 8.1,23
30-Apr-16,Windows XP,8
30-Apr-16,Windows 8,3
30-Apr-16,Windows Vista,2
1-May-16,Windows 7,80
1-May-16,Windows 10,60
1-May-16,Windows 8.1,21
1-May-16,Windows XP,6
1-May-16,Windows 8,3
1-May-16,Windows Vista,3
2-May-16,Windows 7,729
2-May-16,Windows 10,270
2-May-16,Windows 8.1,137
2-May-16,Windows XP,15
2-May-16,Windows 8,14
2-May-16,Windows Server 2003 and XP x64 Edition,2
2-May-16,Windows Vista,2
3-May-16,Windows 7,383
3-May-16,Windows 10,178
3-May-16,Windows 8.1,98
3-May-16,Windows XP,19
3-May-16,Windows 8,7
3-May-16,Windows Vista,4
3-May-16,Windows Server 2003 and XP x64 Edition,1
4-May-16,Windows 7,438
4-May-16,Windows 10,151
4-May-16,Windows 8.1,101
4-May-16,Windows XP,14
4-May-16,Windows 8,7
4-May-16,Windows Vista,2
5-May-16,Windows 7,292
5-May-16,Windows 10,129
5-May-16,Windows 8.1,51
5-May-16,Windows XP,8
5-May-16,Windows 8,7
5-May-16,Windows Vista,2
6-May-16,Windows 7,240
6-May-16,Windows 10,72
6-May-16,Windows 8.1,31
6-May-16,Windows XP,19
6-May-16,Windows Vista,5
6-May-16,Windows 8,3
7-May-16,Windows 7,59
7-May-16,Windows 10,42
7-May-16,Windows 8.1,26
7-May-16,Windows XP,15
7-May-16,Windows 8,3
7-May-16,Windows Vista,3
8-May-16,Windows 7,73
8-May-16,Windows 10,41
8-May-16,Windows 8.1,28
8-May-16,Windows XP,13
8-May-16,Windows Vista,7
9-May-16,Windows 7,286
9-May-16,Windows 10,126
9-May-16,Windows 8.1,73
9-May-16,Windows XP,8
9-May-16,Windows 8,5
9-May-16,Windows Vista,3
10-May-16,Windows 7,380
10-May-16,Windows 10,136
10-May-16,Windows 8.1,76
10-May-16,Windows XP,7
10-May-16,Windows 8,2
10-May-16,Windows Server 2003 and XP x64 Edition,1
10-May-16,Windows Vista,1
11-May-16,Windows 7,742
11-May-16,Windows 10,364
11-May-16,Windows 8.1,178
11-May-16,Windows XP,27
11-May-16,Windows 8,15
11-May-16,Windows Vista,6
12-May-16,Windows 7,557
12-May-16,Windows 10,252
12-May-16,Windows 8.1,112
12-May-16,Windows XP,20
12-May-16,Windows 8,15
12-May-16,Windows Vista,5
13-May-16,Windows 7,310
13-May-16,Windows 10,95
13-May-16,Windows 8.1,61
13-May-16,Windows XP,12
13-May-16,Windows 8,7
13-May-16,Windows Vista,1
14-May-16,Windows 7,60
14-May-16,Windows 10,57
14-May-16,Windows 8.1,16
14-May-16,Windows XP,8
15-May-16,Windows 7,78
15-May-16,Windows 10,65
15-May-16,Windows 8.1,24
15-May-16,Windows XP,8
15-May-16,Windows Vista,2
16-May-16,Windows 7,349
16-May-16,Windows 10,170
16-May-16,Windows 8.1,82
16-May-16,Windows XP,12
16-May-16,Windows Vista,6
16-May-16,Windows 8,4
17-May-16,Windows 7,401
17-May-16,Windows 10,157
17-May-16,Windows 8.1,125
17-May-16,Windows XP,13
17-May-16,Windows Vista,4
17-May-16,Windows 8,3
17-May-16,Windows Server 2003 and XP x64 Edition,1
18-May-16,Windows 7,566
18-May-16,Windows 10,175
18-May-16,Windows 8.1,93
18-May-16,Windows XP,12
18-May-16,Windows 8,10
18-May-16,Windows Vista,3
